Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
22,,"St. Louis, USA","St. Louis, USA",,,,English,"Spanish, 2",,,,,,0,,Master's,,,,1,1,1,,,,,,,3
19,,"Penang, Malaysia","Penang, Malaysia; San Jose, USA; San Jose, Costa Rica; Hong Kong",,,,English; Mandarin; Hokkien,"Spanish, 3",,,,,,0,,Undergraduate,0,0,1,,,,,,,,,,1
23,,"Reno, USA","Reno, USA",,,,English; Spanish,"Italian, 3"," French, 2",,,,,0,,Master's,0,0,1,,,,,,,,,,1
18,,"Melbourne, Australia",Hong Kong,,,,English; Cantonese; Mandarin,"German, 1",,,,,,0,,Undergraduate,,1,,0,1,,,,,,,,2
21,,"Bury St. Edmunds, Suffolk","Sudbury, Suffolk",,,,English,"French, 3"," German, 2"," Italian, 1",,,,0,,Undergraduate,1,0,1,,,,,,,,,,2
21,,"Birmingham, UK","Sutton Coldfield, UK",,,,English,,,,,,,0,,Undergraduate,,1,,0,1,,,,,,,,2
21,,"York, UK","Harrogate, UK",,,,English,"French, 4",,,,,,0,,Undergraduate,1,1,,,,1,,,,,,,3
21,,"Kottayam, India","Hyderabad, India; Bristol, UK",,,,English; Malayalam; Hindi,"Telugu, 3",,,,,,0,,Undergraduate,,,,0,0,1,,,,,,,1
21,,"Bath, UK","Bristol, UK",,,,English,"Spanish, 4"," French, 1",,,,,1,,Undergraduate,,,,0,1,1,,,,,,,2
48,,"Edinburgh, UK","Birmingham, UK",,,,English,"French, 4"," German, 2"," Italian, 2"," Spanish, 1",,,0,,Master's,,,,0,1,0,,,,,,,1
25,,"Manchester, UK","Manchester, UK",,,,English; German,"Spanish, 2"," French, 1",,,,,0,,PhD,,,,0,0,1,,,,,,,1
28,,"Weston-Super-Mare, UK","Horsham, UK",,,,English,"French, 3"," Spanish, 1",,,,,0,,Master's,1,1,,,1,,,,,,,,3
30,,"Suffolk, UK","Suffolk, UK",,,,English,"Cantonese, 4"," Spanish, 3"," French, 3"," Latin, 2",,,0,,PhD,0,1,,,1,,,,,,,,2
20,,"Slough, UK","Slough, UK",,,,English,"French, 3",,,,,,0,,Undergraduate,1,1,,,1,,,,,,,,3
20,,"Stevenage, UK","Letchworth, UK",,,,English,"French, 1",,,,,,0,,Undergraduate,1,1,,,1,,,,,,,,3
18,,Singapore,Singapore,,,,English; Mandarin,"Dutch, 2",,,,,,0,,Undergraduate,1,1,,,1,,,,,,,,3
20,,"Plymouth, UK","Bude, UK",,,,English,"French, 5"," Italian, 3"," Russian, 3"," Spanish, 2",,,0,,Undergraduate,1,0,,,1,,,,,,,,2
18,,"Northallerton, UK","Billingham, UK ",,,,English,"French, 4"," Spanish, 4"," German, 3"," Arabic, 1",,,0,,Undergraduate,1,1,,,1,,,,,,,,3
21,,"Curitiba, Brazil","Petersfield, UK",,,,English; French; Portuguese,"Spanish, 5",,,,,,1,,Undergraduate,,,,1,1,1,,,,,,,3
18,,"Reston, USA","Belfast, Northern Ireland",,,,English,"Irish, 2",,,,,,0,,Undergraduate,0,1,,,0,,,,,,,,1
19,,"Chorley, UK","Chorley, UK",,,,English,"Welsh, 3"," German, 2"," Spanish, 1",,,,0,,Undergraduate,1,,,0,,1,,,,,,,2
19,,"London, UK",Mixed,,,,English,"German, 5"," French, 2"," Russian, 1",,,,,,Undergraduate,1,1,,,1,,,,,,,,3
22,,"London, UK","Hertfordshire, UK",,,,English,NA,,,,,,0,,Master's,1,1,,,1,,,,,,,,3
32,,"Ormskirk, UK","Newcastle upon Tyne, UK",,,,English,"French, 2",,,,,,0,,PhD,1,1,,,,1,,,,,,,3
18,,"Bath, UK","Bath, UK",,,,English,"Spanish, 2"," French, 1",,,,,0,,Undergraduate,1,,,,1,1,,,,,,,3
20,,"London, UK","London, UK",,,,English,"French, 3"," Spanish, 4"," Mandarin, 2",,,,0,,Undergraduate,,,,1,0,1,,,,,,,2
26,,"North York, Canada","Richmond Hill, Canada",,,,English; Cantonese,"French, 4"," Mandarin, 3",,,,,0,,Master's,,,,0,0,0,,,,,,,0
