Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
40,male,Brescia (Italy),Brescia (Italy),italian,Moderate,Negligible,Italian,"english, 5","Spanish, 2","French, 1",Brescian ,NA,12,No,NA,Doctoral degree,0,0,1,1,1,0,0,1,0,1,1,0,6
27,Female,"Moscow, Russia","Moscow region, Russia",Russian,Limited,Limited,Russian,"English, 5","French, 5","Spanish, 4",NA,NA,6,No,NA,Master's degree,1,1,0,0,1,1,0,1,1,1,1,1,9
27,FEMALE,"SHEFFIELD, UK","SHEFFIELD, UK","RP/SSBE WITH SOME NORTHERN VOWELS eg in ""grass""",Extensive,Moderate,ENGLISH,"FRENCH, 4","SPANISH, 2",NA,NA,NA,11,Yes,"10 YEARS, WEEKLY DRAMA LESSONS INCLUDING SOME ACCENT TRAINING WITHIN IT AS CHILD",Master's degree,1,1,0,1,1,1,1,1,1,1,1,0,10
26,Male,"Janesville, WI, USA","Janesville, WI, USA",Midwest American,Moderate,Extensive,English,NA,NA,NA,NA,NA,NA,No,NA,Master's degree,1,1,0,0,1,1,0,1,0,1,0,1,7
21,Male,UK (England)1,Kings Lynn,English,Moderate,Moderate,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,1,0,1,1,0,0,1,0,1,1,1,8
22,female,"Krakow, Poland","Krakow, Poland",mixed,Moderate,Limited,Polish,"English, 5","Swedish, 3","Icelandic, 2",NA,NA,5,No,NA,Master's degree,NA,NA,NA,0,NA,NA,0,NA,0,NA,1,NA,1
36,Male,"Dublin, Ireland","Dundalk, Ireland",Irish,Extensive,Moderate,English,"Irish, 2","Italian, 1","French, 1","German, 1",NA,Irish at 4. German at 15,No,NA,Master's degree,1,1,0,1,1,0,1,0,1,0,1,0,7
27,Female,"San Mateo, California, USA","Half Moon Bay, California, USA",West coast American,Limited,Moderate,English,"Italian, 2","Spanish, 2",NA,NA,NA,13,No,NA,Master's degree,1,0,1,0,0,0,0,1,0,1,1,0,5
27,Male,"Seattle, USA","Seattle, USA",American,Extensive,Extensive,English,"Japanese, 4",NA,NA,NA,NA,10,No,NA,Master's degree,1,1,1,0,1,0,1,1,1,1,1,0,9
36,Male,"Dublin, Ireland","Kildare, Ireland",Irish,Moderate,Moderate,Hiberno-English,"Irish, 1","Portuguese, 3","French, 3",NA,NA,5,No,NA,Master's degree,0,1,0,1,1,1,1,1,0,0,1,0,7
25,Female,"London, UK",Spain,English,Moderate,Limited,Spanish,Spanish 5,English 5,French 3,German 2,NA,NA,No,NA,Bachelor's degree,1,0,0,1,1,1,1,0,1,1,1,0,8
29,Male,"Gulfport, Mississippi, United States of America","Long Beach, Mississippi, United States of America",American,Limited,Moderate,English,"French, 5",NA,NA,NA,NA,18,No,NA,Bachelor's degree,1,0,0,1,0,0,1,1,1,1,1,1,8
27,Female,"New York, NY - United States of America","New York, NY - United States of America",American,Limited,Extensive,English,French - 4,NA,NA,NA,NA,10 years old,No,NA,Bachelor's degree,0,1,1,1,1,1,0,1,1,0,0,0,7
33,Female,"New York, USA","New York, USA",Mid-Atlantic American,Moderate,Extensive,French,"French, 5","Spanish, 2","Italian, 1",NA,NA,9,No,NA,Master's degree,1,0,0,0,1,1,1,1,1,1,0,0,7
38,Male,"sidcup, england","bristol, england",genric RP,Extensive,Extensive,english,"French, 1","German, 1",NA,NA,NA,12,No,NA,Master's degree,1,1,0,0,1,0,1,0,0,0,0,0,4
40,Female,"London, UK",London. UK,Southern / London,Extensive,Moderate,English,"English, 5","French, 3","Spanish, 1",NA,NA,NA,Yes,2,Bachelor's degree,1,1,1,0,1,0,0,1,1,1,1,0,8
39,Female,"Tiverton, UK","Llangeitho (Wales), West Buckland (England)",Neutral British (no particular accent),Moderate,Limited,English,"Welsh, 2","French, 3","Spanish, 2",NA,NA,"Welsh, started learning when I was 6 years old",No,NA,Bachelor's degree,1,1,1,1,0,1,1,0,1,0,0,1,8
29,Male,"London, United Kingdom",London. Brixton and Dagenham,British,Moderate,Moderate,English,"Yoruba, 3",NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,1,1,1,0,1,1,1,0,0,0,7
38,Male,"Sebha, Libya","Tehran, Damascus, London",Ethnic London ,Limited,Negligible,Arabic ,"English, 5","Farsi, 3","Albanian, 1","Greek, 1",NA,4,No,NA,Master's degree,1,1,0,1,0,1,1,1,0,0,1,1,8
26,Female,"La Coronada, Spain","La Coronada, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,1,1,1,0,1,8
39,male,"Lincoln, England","Gainsborough, England",Lincolnshire,Extensive,Extensive,English,NA,NA,NA,NA,NA,NA,No,NA,Master's degree,0,1,1,0,1,0,1,1,1,0,0,1,7
37,Male,"Gettysburg, PA, USA","Gettsyburg PA, Columbus OH, Fort Bragg NC, Fort Thomas KY, Lexington KY, Cincinnati OH, New York NY - All USA",American,Limited,Moderate,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,0,1,1,1,1,1,1,1,1,0,1,10
35,Male,Dundalk Ireland,Dundalk ireland,Dundalk,Extensive,Extensive,English,NA,NA,NA,NA,NA,NA,No,NA,High school diploma (or equivalent),0,1,1,1,1,0,1,1,1,1,0,0,8
26,Female,Peterborough UK,"Stamford, Grantham, Sleaford ",Midlands,Limited,Limited,English,1 German,NA,NA,NA,NA,12,No,NA,Bachelor's degree,1,1,0,0,1,1,1,1,1,0,1,1,9
32,Female,"Long Beach, California, USA","Fullerton, California, USA",American,Moderate,Extensive,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,1,0,1,1,1,1,1,1,1,1,0,10
49,Male,"Dundalk, Ireland","Dundalk, Ireland",Irish,Moderate,Limited,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,0,1,1,1,0,1,1,1,1,1,9
74,Female,"New York, NY, USA","Yonkers, NY
Nutley, NJ",East Coast,Limited,Extensive,English ,"French, 2",NA,NA,NA,NA,16,No,NA,High school diploma (or equivalent),1,0,1,0,1,1,1,1,1,1,1,1,10
26,F,Guildford UK ,Guildford UK ,Southern UK ,Moderate,Limited,English ,"English, 5",NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,0,1,1,0,0,0,1,0,1,0,5
